M1 calibracion,365 nm,404 nm,460 nm,522nm,630 nm,760 nm,970 nm
12/23/22,84.88,86.00,86.88,88.25,87.85,85.60,91.58
12/30/22,85.33,86.25,87.15,88.18,87.75,85.43,91.68
1/6/23,84.73,85.63,87.08,87.33,87.00,85.10,90.95
1/18/23,84.45,85.40,86.85,87.28,86.93,85.00,91.00
2/9/23,84.48,85.75,86.58,87.50,87.23,84.98,91.10
3/9/23,83.98,85.00,86.55,86.55,86.35,84.43,90.40
3/17/23,84.30,85.48,86.38,87.55,87.20,84.93,90.98
3/23/23,85.08,86.05,87.20,88.00,87.65,85.48,91.43
3/31/23,85.40,86.03,87.58,87.83,87.33,85.43,91.53
4/6/23,85.13,85.98,87.20,87.98,87.50,85.40,91.55
4/13/23,84.95,86.30,87.18,88.15,87.83,85.50,91.50
4/20/23,84.95,86.03,87.13,87.93,87.58,85.38,91.50
4/27/23,85.18,86.05,87.25,88.00,87.55,85.50,91.58
5/12/23,86.07,87.03,88.20,88.17,87.67,86.13,91.27
5/18/23,85.68,86.55,87.55,88.33,87.68,85.53,91.53
5/29/23,85.20,86.63,87.67,86.97,86.87,84.83,90.53
